tiempo_llegada,tiempo_salida_servidor
"8205,274587","8207,69316"
"8205,408079","8214,553991"
"8209,492073","8218,946587"
"8217,527462","8230,86545"
"8232,256957","8261,756165"
"8236,456661","8279,021183"
"8251,26604","8291,980889"
"8254,610035","8302,283488"
"8262,611651","8323,457478"
"8268,872179","8325,709293"
"8275,454956","8346,86002"
"8276,603667","8351,425853"
"8279,122758","8355,447679"
"8304,203661","8358,93075"
"8304,434526","8361,682872"
"8319,636257","8363,875628"
"8335,5588","8382,114159"
"8349,917216","8406,208045"
"8372,693416","8407,276704"
"8376,934699","8410,555591"
"8382,98512","8412,68943"
"8387,237678","8414,595568"
"8389,642203","8416,533222"
"8394,841727","8421,505149"
"8406,218626","8424,020189"
"8407,008006","8425,99642"
"8407,987757","8426,823359"
"8411,125685","8427,664809"
"8425,27928","8432,672491"
"8425,567682","8454,304467"
"8441,274705","8456,834325"
"8457,200325","8460,97772"
"8465,339476","8471,476555"
"8467,002821","8481,751126"
"8467,076457","8489,193948"
"8467,446591","8490,211601"
"8502,588272","8512,314591"
"8517,26784","8519,974409"
"8517,330819","8524,190135"
"8517,794095","8536,381595"
"8518,730851","8536,8658"
"8520,428226","8542,242715"
"8525,561375","8544,682251"
"8527,420213","8562,488621"
"8527,812044","8566,04646"
"8530,652181","8568,907625"
"8535,026574","8575,901705"
"8537,514706","8584,449814"
"8568,423827","8584,63548"
"8570,77903","8585,142038"
"8579,490916","8591,556188"
"8586,605136","8595,107419"
"8589,934719","8601,094323"
"8591,111032","8605,877898"
"8604,374474","8614,4183"
"8620,214254","8624,742212"
"8634,383002","8640,756476"
"8642,719104","8647,945612"
"8647,949319","8655,409269"
"8653,847758","8656,403405"
